,message_id,date,text,tags,tweet_lang,source,place,geom,retweets,tweet_favorites,photo_url,quoted_status_id,user_id,user_name,user_location,followers,friends,user_favorites,status,user_lang,latitude,longitude,data_source,keywords,sentiment,county_id,tweet_integer,tweet_positive,tweet_negative
30464,1.59474e+18,21/11/2022 17:25,"Elon Musk claims to be a free speech absolutist. So if I tweeted something like, oh, I don't know... Elon Musk is an ugly moon-faced pig fucker, that would be okay, right? @elonmusk #Elonmusk",Elonmusk,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wayzata, MN","POLYGON ((-93.548345 44.951269, -93.548345 44.9822, -93.47675 44.9822, -93.47675 44.951269, -93.548345 44.951269))",0,0,,-1.0,508006873.0,rmasher2,"Minneapolis, MN",74722,66259,57492,41256,,,,[3],True,negative,3017,1,,1.0
4323,1.58288e+18,19/10/2022 23:53,Im loving how much more up-tempo the offense is looking. Herro is cooking early. #HeatTwitter,HeatTwitter,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doral, FL","POLYGON ((-80.41728999999999 25.780974, -80.41728999999999 25.870313, -80.321016 25.870313, -80.321016 25.780974, -80.41728999999999 25.780974))",0,0,,-1.0,58725707.0,CurtisHierro,"Miami, FL",1175,1012,21567,6915,,,,[3],True,positive,3105,1,1.0,
90893,1.59076e+18,10/11/2022 17:38,the only people that are going to be willing to do ads on Twitter: https://t.co/BZrgP4NLv3,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seattle, WA","POLYGON ((-122.436232 47.495315, -122.436232 47.734319, -122.224973 47.734319, -122.224973 47.495315, -122.436232 47.495315))",0,0,"http://pbs.twimg.com/media/FhOEh5OaYAEaMAo.jpg,http://pbs.twimg.com/media/FhOEiNnaYAEvMnZ.jpg,http://pbs.twimg.com/media/FhOEiZtaMAE5wHw.jpg,http://pbs.twimg.com/media/FhOEii1aAAALq5h.jpg",-1.0,288324737.0,ericriveracooks,"Seattle, WA",8994,2339,52197,52877,,,,[3],True,neutral,3064,1,,
14835,1.58325e+18,20/10/2022 23:53,@betJACK @mysonwhosnot on twitter??????????,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Avon, OH","POLYGON ((-82.069227 41.418361, -82.069227 41.47865, -81.96937800000001 41.47865, -81.96937800000001 41.418361, -82.069227 41.418361))",0,0,,-1.0,265135338.0,twm825,"Avon, OH ",142,791,8177,6526,,,,[3],True,positive,2090,1,1.0,
15789,1.57896e+18,09/10/2022 04:24,Praise God and Praise Him Again ????????????? #CatholicTwitter #Christian #quote #saintquotes #marytr https://t.co/Qfi7cQ4gWS,"CatholicTwitter,Christian,quote,saintquotes,marytr",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gordon, PA","POLYGON ((-76.344703 40.74558, -76.344703 40.758577, -76.32673 40.758577, -76.32673 40.74558, -76.344703 40.74558))",0,0,http://pbs.twimg.com/media/Femb_8oWYAEqFyc.jpg,-1.0,878992002.0,chiefsportlad,USA,3077,4739,9314,13906,,,,[3],True,positive,1127,1,1.0,
35225,1.58941e+18,07/11/2022 00:10,TWITTER!!! I said WTF I said !! Stop asking me if I wanna send that tweet.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lufkin, TX","POLYGON ((-94.79605599999999 31.264964, -94.669141 31.264964, -94.669141 31.400021, -94.79605599999999 31.400021, -94.79605599999999 31.264964))",0,0,,-1.0,8.44961e+17,Curly_Cuekay,"Texas, USA",765,1599,10150,14541,,,,[1],True,negative,2779,1,,1.0
88539,1.59375e+18,18/11/2022 23:32,"Before Twitter dies, indulge me in my annual thoughts as winter descends- how did people decide Patagonia is no longer the winter coat status symbol and Canada Goose is a winter coat worth spending the same amount as a used car YOUNG PEOPLE???!!!",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Burlington, VT","POLYGON ((-73.276995 44.445714, -73.276995 44.539485, -73.17455 44.539485, -73.17455 44.445714, -73.276995 44.445714))",0,0,,-1.0,43911591.0,bleusky03,"Burlington, Vermont",1445,3124,6367,3842,,,,[3],True,negative,2839,1,,1.0
5219,1.58749e+18,01/11/2022 17:01,@tristanmcguire_ @verotruesocial Twitter is definitely my favorite,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Quitman, GA","POLYGON ((-83.582566 30.767762, -83.582566 30.803533, -83.54328099999999 30.803533, -83.54328099999999 30.767762, -83.582566 30.767762))",0,0,,-1.0,19786170.0,willoliver,,11694,353,16927,19797,,,,[3],True,positive,1952,1,1.0,
93450,1.58349e+18,21/10/2022 15:53,the most annoying people on earth are taylor swift antis bc imagine frothing at the mouth just to go on Twitter dot com and hate something,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Middleton, WI","POLYGON ((-89.600763 43.081683, -89.600763 43.133416, -89.452015 43.133416, -89.452015 43.081683, -89.600763 43.081683))",0,0,,-1.0,705473784.0,tonymfhawk,"Madison, WI",90,405,28846,2335,,,,[3],True,negative,618,1,,1.0
31630,1.59323e+18,17/11/2022 13:29,"The fact witch Hilary Clinton/those liberal terrorist groups are trying to strong-arm @elonmusk/Twitter is all the reason #WeThePeople should support them/their advertisers.

Clinton-linked darkmoney group targeted Twitter advertisers amid Musk's takeover

https://t.co/ErZSZCNmr0",WeThePeople,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Henderson, NV","POLYGON ((-115.158143 35.917793, -115.158143 36.094719, -114.918531 36.094719, -114.918531 35.917793, -115.158143 35.917793))",0,0,,-1.0,28109931.0,GerarddeMarigny,"Henderson, NV",8633,1311,30323,18415,,,,[3],True,negative,3163,1,,1.0
